fiscal_year	Query_Run_Date	Customer	SubCustomer	ProductOrServiceArea	CompetitionClassification	ClassifyNumberOfOffers	VehicleClassification	VendorSize	SizeOfSumOfObligatedAmount	UnmodifiedUltimateDuration	Label	IDVlabel	ContractLabel	TransactionLabel	IsPerformanceBasedLogistics	SumOfobligatedAmount	SumOfnumberOfActions
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>1-2 Years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	6128288.0000	2
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	117000.0000	2
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	6041113.0000	4
2003	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	33529060.0000	22
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$250 thousand - <$1 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	1312625.0000	2
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	25396077.0000	3
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	Zero value	NULL	PBL-GoviniSolicitation	NULL	PBL-GoviniSolicitation	NULL	1	0.0000	0
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	Zero value	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	0.0000	1
2000	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	71869409.0000	7
2000	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	>7-12 Months	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	3884335.0000	1
2000	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>1-2 Years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	1144906.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Zero value	NULL	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	NULL	1	0.0000	0
2001	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	$5 - <$25 million	>2-7 Months	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	8064767.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	PAMS	No Competition (Only One Source Exception)	No competition	Definitive Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-DoD-ZBLs	NULL	PBL-GoviniSolicitation	PBL-DoD-ZBLs	1	579481.0000	1
2002	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>2-7 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	1013457.0000	2
2002	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	88579094.0000	11
2002	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	1452071.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	92008.0000	4
2002	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	3998137.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	Deobligation	>2-7 Months	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	-2649448.0000	1
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	>2-7 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	300000.0000	1
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Deobligation	>2-4 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	-1528099.0000	7
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	129456.0000	8
2003	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	1524204.0000	2
2003	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Deobligation	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	-96253.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	Deobligation	>7-12 Months	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	-2059363.0000	1
2000	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	1027068.0000	1
2000	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>2-4 Years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	10931317.0000	1
2001	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	8180216.0000	7
2001	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	Zero value	NULL	PBL-GoviniSolicitation	NULL	PBL-GoviniSolicitation	NULL	1	0.0000	0
2001	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	Zero value	NULL	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	NULL	1	0.0000	0
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$250 thousand - <$1 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	571473.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$250 thousand - <$1 million	<=2 Months	PBL-DoD-ZBLs	PBL-GoviniSolicitation	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	710854.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$100 - <$500 million	>2-7 Months	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	118176788.0000	6
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	3488247.0000	5
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	37427539.0000	21
2003	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	15418480.0000	7
2003	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	3714966.0000	1
2003	2017-09-13 12:23:09.423	Defense	Air Force	PAMS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	830247.0000	2
2003	2017-09-13 12:23:09.423	Defense	Navy	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	1435167.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	1933889.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	6703237.0000	2
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	>2-7 Months	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	103453.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	$5 - <$25 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	14530900.0000	1
2000	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	476040.0000	1
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	<=2 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	47672.0000	1
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	50000.0000	1
2001	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>2-4 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	73829446.0000	12
2001	2017-09-13 12:23:09.423	Defense	Air Force	PAMS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	2354495.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>2-7 Months	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	625000.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	19616050.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	9884167.0000	3
2002	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>2-4 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	53027694.0000	27
2002	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	>2-7 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	406285.0000	3
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	10370501.0000	3
2002	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	>7-12 Months	PBL-DoD-ZBLs	PBL-GoviniSolicitation	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	3314519.0000	2
2002	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	1708182.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Ground Vehicles	Full Competition (Multiple Offers)	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Medium <1B	$5 - <$25 million	>7-12 Months	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	15297168.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Missiles & Space	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	60207.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Other	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	19333220.0000	1
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	2010636.0000	7
2003	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$250 thousand - <$1 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	280676.0000	3
2000	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>4 years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	2508262.0000	2
2000	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	Zero value	NULL	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	NULL	1	0.0000	0
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>2-4 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	3903540.0000	2
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>2-7 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	11340826.0000	7
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	125379259.0000	18
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	5499156.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	<=2 Months	PBL-DoD-ZBLs	PBL-GoviniSolicitation	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	3111422.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	PAMS	No Competition (Only One Source Exception)	No competition	Modified Definitive Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-DoD-ZBLs	NULL	PBL-GoviniSolicitation	PBL-DoD-ZBLs	1	6962674.0000	2
2002	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Deobligation	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	-940472.0000	2
2002	2017-09-13 12:23:09.423	Defense	Navy	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	10141221.0000	2
2002	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	Less than $250 thousand	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	212947.0000	1
2002	2017-09-13 12:23:09.423	Defense	Navy	Missiles & Space	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	PBL-DoD-ZBLs	1	3064651.0000	1
2003	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	85779806.0000	8
2003	2017-09-13 12:23:09.423	Defense	Air Force	R&D	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$1 - <$5 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	4887275.0000	4
2003	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	>1-2 Years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	3878568.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Less than $250 thousand	>1-2 Years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	90144.0000	1
2003	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	39287573.0000	4
2004	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Deobligation	>2-7 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	-803457.0000	1
2000	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>4 years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	13608516.0000	17
2000	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Zero value	NULL	PBL-GoviniSolicitation	NULL	PBL-GoviniSolicitation	NULL	1	0.0000	0
2000	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	18430950.0000	3
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>2-4 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	20233572.0000	2
2001	2017-09-13 12:23:09.423	Defense	Air Force	PAMS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	39248715.0000	11
2001	2017-09-13 12:23:09.423	Defense	Navy	Electronics & Communications	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-DoD-ZBLs	PBL-DoD-ZBLs	NULL	PBL-DoD-ZBLs	1	3553541.0000	1
