fiscal_year,Query_Run_Date,Customer,SubCustomer,ServicesCategory,CompetitionClassification,ClassifyNumberOfOffers,VehicleClassification,VendorSize,SizeOfSumOfObligatedAmount,UnmodifiedUltimateDuration,Label,IDVlabel,ContractLabel,TransactionLabel,IsOfficialPBL,PSCscore,MaxOfIsOnlyOneSource,MaxOfIsSingleAward,LengthScore,PricingScore,SumOfobligatedAmount,SumOfnumberOfActions
2003,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,Deobligation,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,0,0,0,2,-2059363,1
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,Definitive Contract,Large: Big 6 JV,$100 - <$500 million,>4 years,PBL-Announcement,NULL,PBL-Announcement,NULL,0,4,1,0,2,2,350230249,2
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,4001846,1
2000,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,61574805,4
2000,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,5750000,1
2000,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,5627700,2
2001,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,2,9998390,3
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Deobligation,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,-1432869,2
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,5080370,1
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,4997234,3
2002,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,15450507,24
2002,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,0,0,0,2,15300000,1
2002,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,3998137,1
2003,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1910104,1
2003,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,2010636,7
2003,44:53.8,Defense,Navy,PAMS,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,NULL,PBL-Announcement,NULL,0,4,1,0,0,0,3246980,1
2003,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,6703237,2
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,3878568,1
2004,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,3956918,9
2004,44:53.8,Defense,Air Force,ICT,Full Competition (Multiple Offers),10-24 Offers,MULTIPLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,2,1,0,0,0,2,0,NULL
2004,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,-20000,1
2000,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,1,1,0,0,2,0,NULL
2001,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,4998316,3
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,117461438,16
2001,44:53.8,Defense,Navy,PAMS,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,4,1,0,0,2,355509,1
2001,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,19600000,1
2002,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Deobligation,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,-940472,2
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,1,0,0,2,3211048,2
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,6128288,2
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,1,0,0,2,234264,4
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,124180,4
2003,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,58078448,4
2003,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,42988835,9
2003,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,88078,1
2003,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,43243550,15
2003,44:53.8,Defense,Air Force,R&D,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,1,1,0,0,0,46649078,6
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$25 - <$100 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,29906565,1
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,527724,1
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,5453553,1
2000,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,476040,1
2000,44:53.8,Defense,Navy,Products,No Competition (Unlabeled Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,1,0,0,0,2,0,NULL
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,11656702,17
2001,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,0,0,0,2,8064767,1
2001,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,2,1,0,0,0,2,0,NULL
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,3553541,1
2002,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,Deobligation,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,0,0,0,2,-2649448,1
2002,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,1943875,3
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,10370501,3
2004,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,48466885,24
2004,44:53.8,Defense,Navy,ERS,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,NULL,PBL-Announcement,NULL,0,4,1,0,0,2,68208830,4
2004,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,4,0,0,0,2,0,NULL
2004,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,4000000,1
2004,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,6128945,2
2005,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,25454304,9
2005,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Deobligation,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,-196310,1
2005,44:53.8,Defense,Air Force,ICT,Limited Competition with multiple offers,Two Offers,MULTIPLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,0,0,0,2,327240,6
2005,44:53.8,Defense,Air Force,ICT,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,MULTIPLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,0,0,0,2,49280,1
2000,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,25231670,16
2000,44:53.8,Defense,Navy,Products,No Competition (Unlabeled Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,0,0,0,2,7121281,2
2001,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,1236000,4
2001,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,73814779,12
2001,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,29287218,8
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,7911502,1
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,47854354,7
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,625000,1
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,1,0,0,2,295000,1
2002,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1054592,2
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,5022701,3
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$250 thousand - <$1 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,4,1,0,0,2,571473,1
