fiscal_year,Query_Run_Date,Customer,SubCustomer,ProductOrServiceArea,CompetitionClassification,ClassifyNumberOfOffers,VehicleClassification,VendorSize,SizeOfSumOfObligatedAmount,UnmodifiedUltimateDuration,Label,IDVlabel,ContractLabel,TransactionLabel,IsOfficialPBL,PSCscore,MaxOfIsOnlyOneSource,MaxOfIsSingleAward,LengthScore,PricingScore,SumOfobligatedAmount,SumOfnumberOfActions
2002,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Deobligation,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,-940472.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,>7-12 Months,PBL-DoD-ZBLs,PBL-GoviniSolicitation,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,2,1,0,0,2,3314519.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,Less than $250 thousand,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,0,2,212947.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,NULL,1,0,0,2,43145.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,2,1,0,0,2,149436.0000,2
2000,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,2,1,0,0,2,0.0000,0
2000,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,5627700.0000,2
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,3903540.0000,2
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,<=2 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,47672.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,29250325.0000,8
2001,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,0,2,5080370.0000,1
2001,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,2,1,0,0,2,295000.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,15569054.0000,4
2002,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,29714679.0000,5
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,2,1,0,0,2,146397.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,3998137.0000,1
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,16768453.0000,8
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,<=2 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,453769.0000,2
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,6041113.0000,4
2003,2017-09-13 14:58:58.833,Defense,Navy,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,1435167.0000,1
2003,2017-09-13 14:58:58.833,Defense,Navy,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,87264892.0000,12
2003,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,4,1,0,0,2,148639.0000,4
2000,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,2,1,0,0,2,1027068.0000,1
2000,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,>7-12 Months,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,4,1,0,0,2,3884335.0000,1
2000,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,2599400.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-7 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,7711925.0000,6
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,111225.0000,2
